,cdr_seaice_conc,uo,vo,thetao,u10,v10,t2m,msl,wind_speed_max
2026-07-21,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-07-22,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-07-23,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-07-24,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-07-25,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-07-26,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-07-27,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-07-28,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-07-29,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-07-30,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-07-31,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-01,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-02,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-03,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-04,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-05,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-06,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-07,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-08,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-09,100.0,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-10,100.0,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-11,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-12,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-13,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-14,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-15,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-16,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-17,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-18,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
2026-08-19,20.867965533018147,31.86575415586396,31.86575415586396,31.86575415586396,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062,10.48402470642062
