,cdr_seaice_conc,uo,vo,thetao,u10,v10,t2m,msl,wind_speed_max
2026-07-21,0.2799969886411544,0.06797338290930804,0.029496341400719404,0.7362664692850044,2.8786972556266814,0.1300950037529769,-12.859225278616886,993.3226527804117,12.061596647840558
2026-07-22,0.27973150724532936,0.06896188282133672,0.030990225142702697,0.721499119004893,3.2602812332099798,0.20882152323911143,-12.783725058174289,992.6089757409694,12.951232541764583
2026-07-23,0.2800120454353823,0.0747257901143885,0.0341058874799492,0.7072267687742156,3.88863802751012,0.16432063535675795,-12.379978470829029,992.0245440795325,13.010009422030993
2026-07-24,0.2813168069959889,0.06978880314590195,0.03383024313530101,0.6932047151444364,3.8682872090778924,0.06151487756419948,-12.161300807690775,992.2983948233878,12.101023927194689
2026-07-25,0.2833245401655043,0.06125612065442069,0.023765348616286017,0.6793893516319011,3.022111383552494,-0.055440747127872766,-12.385068254529584,993.3338410838921,11.435831357848102
2026-07-26,0.28443524976210266,0.06020194179222515,0.02440593034009151,0.665410695241241,2.596660717057601,0.31036059760622775,-12.781861821954484,994.7564961968534,11.255895863336448
2026-07-27,0.2851264168443368,0.056919166977743324,0.025606987468673573,0.652362882055279,2.6943366602864556,0.39589017629612894,-13.15283830646954,994.9875808304357,11.126784565443016
2026-07-28,0.2867608619713559,0.05612737175787078,0.025442984110914803,0.6393222746060891,2.7634923575004633,0.29424712431548644,-13.368441358730154,995.3807603425427,11.01096776381351
2026-07-29,0.2882176369264867,0.05742415650355834,0.025819422614613913,0.6267283057272098,2.560223260723013,0.3553771149799087,-13.78786565628838,995.9925966494702,10.948085029114157
2026-07-30,0.2888760404244812,0.056776836410848124,0.026785918123312956,0.6179708212284332,2.6838798658760386,0.4058712146524348,-13.791942230002068,995.9288394800062,12.010026755688177
2026-07-31,0.29113251183464023,0.061208198498751455,0.027152334206516502,0.6089756861591473,2.803334788935579,0.2534507526173056,-13.8418262041383,995.2348585817882,12.266137462686665
2026-08-01,0.29534468013346343,0.06270093223526323,0.02678265622465075,0.5992685407369971,2.6323078711393495,0.17669845307894722,-13.747579911374743,994.0792559863473,11.724857438144575
2026-08-02,0.295410809573712,0.05913187195982844,0.022473362065330342,0.5896498853335012,2.2546756667941827,0.2579540235857254,-13.699629006128367,993.5224029200716,12.095574188328605
2026-08-03,0.29851082282369096,0.06409100888676969,0.02141143138638603,0.5816883570390677,2.0516439485764137,-0.2340202849628315,-13.47951662085118,993.9572264280994,12.1022015631955
2026-08-04,0.29775208084896226,0.07071052227655272,0.029702990285522746,0.577064239436164,2.9305082213951117,-0.2909821136323972,-13.218353677492635,993.6353352982777,13.08104934670447
2026-08-05,0.2957226658957588,0.06917506070147805,0.02789853610734185,0.5695693702270921,2.845545015257477,-0.5220668157098447,-12.792126055823854,992.673075269711,12.350947891737546
2026-08-06,0.2989421698647297,0.06201743355016179,0.021224895347464707,0.5641924340954809,2.297168884678605,-0.5743704542030181,-12.737813256098493,992.4456799556114,11.78325661106785
2026-08-07,0.2972012430889314,0.06951239573191557,0.024064076038360954,0.5625576838488039,2.4394653770442174,-0.5128410897442855,-12.604722791650326,993.3016761793373,11.769547430525202
2026-08-08,0.290314385863477,0.0628036553899306,0.027167182212140515,0.5635529532231294,2.325410623454832,-0.09371969774819217,-12.689577732864882,993.295884800132,12.391206151988799
2026-08-09,,0.0643371462504973,0.031401982503190116,0.5616540498363587,3.004198499737587,-0.07170312569631468,-12.53768663993252,991.5115707589529,12.768183511015135
2026-08-10,,0.07102858781500766,0.03663665042713551,0.5586803771666764,3.466563488676763,0.05850479273763532,-12.441407349824603,989.3871283042641,12.768307424377092
2026-08-11,0.2865515123044123,0.07678406204781174,0.038904645975646586,0.5564869532735685,3.8223226463020823,-0.08846617954283367,-12.386914675813008,988.5054060714378,12.789332382111278
2026-08-12,0.288748479263783,0.0651414777113536,0.03391279377829201,0.5532121977159953,3.3193107277134843,0.0692729344485776,-12.376645925453497,989.4664045531509,11.853109798510197
2026-08-13,0.2896264710487961,0.062412289012668654,0.027706366744994815,0.5495068819394454,2.9513832696480122,0.2485201541114581,-12.065385359694776,992.3752974708611,11.528650657659105
2026-08-14,0.2881951119623219,0.06304876162753484,0.026146857895250553,0.5478433342298195,2.5544540447272936,0.3104315330591031,-11.677912641792696,993.6480893189784,11.66566475010951
2026-08-15,0.2886606680398463,0.06438722684494584,0.02742439286772931,0.5490636806748816,2.7919402402784126,0.07368675223958449,-11.295804390892322,992.2078768928765,11.786377302857359
2026-08-16,0.2902884881774052,0.06410504801703452,0.02933900005587351,0.5477453360832333,2.918051267364158,0.21464037771764105,-11.545378528434403,990.5407403841168,11.770838619891753
2026-08-17,0.29072935111239595,0.0671299795967621,0.02946822133465779,0.5467374891841761,3.3431520773742047,-0.02874697433143043,-11.86163102038922,988.9043096402833,11.65206655223764
2026-08-18,0.2923546417085246,0.07178825181943894,0.02954008836795891,0.5459266066547839,3.497493317641739,-0.4002144016004356,-12.152954035023006,987.9058773697716,11.691475422743382
2026-08-19,0.29483937411917754,0.06989600764763236,0.03094822141052659,0.5436771498667871,3.6030998346441496,-0.522236472092178,-12.337431902026598,986.6903435580095,11.475394655052366
