,0
t2m,0.17846775368893772
x,0.11518064840855122
seaice_lag1,0.11234101026626378
msl,0.10554364095593302
y,0.09231466012262675
thetao,0.08882075760568249
v10,0.06982207671212252
days_since_start,0.04418005770188941
day_of_year,0.043738520688994545
u10,0.04065090884123601
wind_speed,0.03488355303324973
wind_dir_deg,0.03313182972439525
uo,0.0224038615076739
vo,0.018520720742443725
