model,MAE,RMSE,R2,zone
Persistence (edge),0.05636920952420806,0.0784267646741151,0.8588770475173494,edge
Random Forest (edge),0.06394889004281139,0.08401276870719215,0.8380579435925223,edge
Persistence (interior),0.0027720287795345525,0.0185675749898029,0.9981483068068245,interior
Random Forest (interior),0.0057557368431917395,0.01982897428973502,0.9978881690216281,interior
