,cdr_seaice_conc
cdr_seaice_conc,1.0
wind_speed_max,-0.03420375757918859
uo,-0.05340635425701184
msl,-0.0865126355076942
t2m,-0.21740095544105398
vo,-0.43775569735457576
u10,-0.48384434447743324
v10,-0.5895897011559564
thetao,-0.7469214452763978
