,cdr_seaice_conc,uo,vo,thetao,u10,v10,t2m,msl,wind_speed_max
cdr_seaice_conc,1.0,-0.05340635425701184,-0.43775569735457576,-0.7469214452763978,-0.48384434447743324,-0.5895897011559564,-0.21740095544105398,-0.0865126355076942,-0.03420375757918859
uo,-0.05340635425701184,1.0,0.706558970505792,-0.07971333091447509,0.694549796252553,-0.5241118322295517,0.44269371640198696,-0.6898433665976994,0.6400363950872557
vo,-0.43775569735457576,0.706558970505792,1.0,-0.007727866317071129,0.8699034819470366,0.013059829875895214,0.36972867824189,-0.6198534326794911,0.5432143996274306
thetao,-0.7469214452763978,-0.07971333091447509,-0.007727866317071129,1.0,0.13815793370622484,0.41196893702069975,-0.2978507982530208,0.4512118474101081,0.04199660572850345
u10,-0.48384434447743324,0.694549796252553,0.8699034819470366,0.13815793370622484,1.0,-0.06764784197147991,0.4449204576031252,-0.6677515965873153,0.33318892730706606
v10,-0.5895897011559564,-0.5241118322295517,0.013059829875895214,0.41196893702069975,-0.06764784197147991,1.0,-0.19864847207564687,0.48468100835025607,-0.20731044609655896
t2m,-0.21740095544105398,0.44269371640198696,0.36972867824189,-0.2978507982530208,0.4449204576031252,-0.19864847207564687,1.0,-0.6305400878121322,0.01986693954453771
msl,-0.0865126355076942,-0.6898433665976994,-0.6198534326794911,0.4512118474101081,-0.6677515965873153,0.48468100835025607,-0.6305400878121322,1.0,-0.2215746250306186
wind_speed_max,-0.03420375757918859,0.6400363950872557,0.5432143996274306,0.04199660572850345,0.33318892730706606,-0.20731044609655896,0.01986693954453771,-0.2215746250306186,1.0
